pref_short,deaths,population,elderly_rate,car_per_1000,deaths_per_100k,predicted_deaths,residual,pearson_residual
北海道,131,5092000,0.33012568735271014,745.9748625294579,2.5726630007855458,130.3,0.7,0.041
青森,45,1184000,0.35219594594594594,846.9755067567568,3.8006756756756754,36.3,8.7,1.216
岩手,35,1163000,0.34995700773860705,883.0619088564058,3.0094582975064488,36.9,-1.9,-0.265
宮城,47,2264000,0.2924028268551237,755.2336572438163,2.0759717314487633,52.1,-5.1,-0.561
秋田,32,914000,0.39059080962800874,876.7768052516411,3.5010940919037203,32.7,-0.7,-0.099
山形,34,1026000,0.35185185185185186,905.8118908382066,3.313840155945419,33.6,0.4,0.059
福島,55,1767000,0.3316355404640634,935.4340690435766,3.1126202603282396,56.2,-1.2,-0.126
東京,136,14086000,0.227530881726537,314.1128070424535,0.9654976572483317,161.4,-25.4,-1.201
茨城,93,2825000,0.30619469026548674,935.3883185840708,3.2920353982300887,83.0,10.0,0.79
栃木,59,1897000,0.30205587770163417,922.8734844491302,3.110173958882446,54.3,4.7,0.506
群馬,47,1902000,0.3096740273396425,953.5536277602523,2.471083070452156,57.7,-10.7,-1.1
埼玉,122,7331000,0.27445096166962213,573.2197517391897,1.6641658709589415,130.0,-8.0,-0.45
千葉,127,6257000,0.28064567684193703,594.315007191945,2.02972670608918,115.8,11.2,0.69
神奈川,115,9229000,0.25896630187452596,440.2630837577202,1.246072163831401,134.3,-19.3,-1.059
新潟,55,2126000,0.33866415804327377,862.6472248353716,2.5870178739416745,63.7,-8.7,-0.833
山梨,29,796000,0.3178391959798995,966.9912060301508,3.64321608040201,25.1,3.9,0.682
長野,42,2004000,0.3268463073852295,957.4870259481038,2.095808383233533,64.4,-22.4,-2.134
静岡,70,3555000,0.309704641350211,818.9862165963432,1.969057665260197,92.7,-22.7,-1.658
富山,31,1007000,0.33068520357497516,895.0556107249255,3.0784508440913605,30.5,0.5,0.076
石川,28,1109000,0.3047790802524797,830.190261496844,2.5247971145175834,28.8,-0.8,-0.136
福井,20,744000,0.31586021505376344,903.7795698924731,2.6881720430107525,21.7,-1.7,-0.337
岐阜,50,1931000,0.3122734334541688,875.1626100466079,2.589331952356292,54.1,-4.1,-0.437
愛知,145,7477000,0.25718871205028754,715.4890999063796,1.9392804600775713,147.5,-2.5,-0.127
三重,66,1727000,0.30631152287203245,886.0341632889404,3.8216560509554145,48.0,18.0,2.095
滋賀,43,1407000,0.27007818052594174,753.5643212508884,3.0561478322672353,30.1,12.9,2.028
京都,59,2535000,0.29704142011834317,529.1262327416174,2.32741617357002,45.9,13.1,1.58
大阪,148,8763000,0.2766175967134543,436.08775533493093,1.6889193198676251,134.1,13.9,0.765
兵庫,103,5370000,0.29962756052141526,569.1804469273743,1.9180633147113595,102.5,0.5,0.036
奈良,26,1296000,0.3263888888888889,646.7237654320987,2.006172839506173,29.3,-3.3,-0.532
和歌山,31,892000,0.3419282511210762,849.322869955157,3.475336322869955,26.6,4.4,0.753
鳥取,14,537000,0.3333333333333333,874.1340782122905,2.60707635009311,16.0,-2.0,-0.467
島根,22,650000,0.34923076923076923,854.26,3.384615384615385,19.9,2.1,0.421
岡山,49,1847000,0.31023280996210073,843.0471034109366,2.652950730914997,49.6,-0.6,-0.063
広島,78,2738000,0.30131482834185536,701.9419284149014,2.8487947406866327,61.0,17.0,1.687
山口,35,1298000,0.35362095531587057,824.5993836671803,2.6964560862865947,39.0,-4.0,-0.537
徳島,28,695000,0.3539568345323741,890.8776978417267,4.028776978417266,22.5,5.5,1.032
香川,33,926000,0.3250539956803456,859.6382289416847,3.5637149028077753,26.5,6.5,1.111
愛媛,43,1291000,0.3415956622773044,795.3756777691711,3.3307513555383426,36.2,6.8,0.96
高知,23,666000,0.3633633633633634,844.7657657657658,3.453453453453453,21.1,1.9,0.372
福岡,103,5103000,0.284538506760729,677.8947677836567,2.0184205369390558,105.0,-2.0,-0.134
佐賀,13,795000,0.3169811320754717,868.0276729559748,1.6352201257861636,22.4,-9.4,-1.779
長崎,36,1267000,0.34333070244672453,756.1767955801105,2.841357537490134,34.2,1.8,0.27
熊本,37,1709000,0.3229959040374488,823.5991808074898,2.16500877706261,46.7,-9.7,-1.15
大分,32,1096000,0.34215328467153283,849.3448905109489,2.9197080291970803,32.7,-0.7,-0.103
宮崎,30,1042000,0.33685220729366605,916.78886756238,2.8790786948176583,33.0,-3.0,-0.445
鹿児島,40,1549000,0.3382827630729503,880.6481601032924,2.5823111684958038,47.3,-7.3,-0.859
沖縄,38,1468000,0.23841961852861035,815.0735694822888,2.5885558583106265,30.6,7.4,1.163
